Temps de latence : 2000 ms

N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi	Lever
1	27578	2705427	25004	24809	389	0	410	930	0	0
2	27579	2705432	25004	24815	922	0	420	940	0	0
3	27580	2705437	25026	24819	910	0	420	930	0	0
4	27581	2705442	25049	24824	898	0	420	930	0	0
5	27582	2705447	25073	24828	886	0	420	930	0	0
6	27583	2705452	25097	24832	874	0	430	930	0	0
7	27584	2705457	25111	24834	874	0	430	930	0	0
8	27585	2705462	25116	24836	862	0	430	930	0	0
9	27586	2705467	25155	24836	850	0	440	930	0	0
10	27587	2705472	25195	24836	826	0	450	920	0	0
11	27588	2705477	25236	24836	814	0	450	920	0	0
12	27589	2705482	25278	24836	790	0	460	920	0	0
13	27590	2705487	25319	24823	778	0	470	920	0	0
14	27591	2705492	25360	24810	754	0	480	920	0	0
15	27592	2705497	25401	24810	730	0	490	920	0	0
16	27593	2705502	25442	24791	706	0	500	910	0	0
17	27594	2705507	25481	24760	665	0	510	910	0	0
18	27595	2705512	25519	24716	629	0	520	910	0	0
19	27596	2705517	25555	24658	581	0	530	910	0	0
20	27597	2705522	25586	24587	533	0	540	910	0	0
21	27598	2705527	25586	24505	497	0	550	910	0	0
22	27599	2705532	25586	24412	461	0	550	930	0	0
23	27600	2705537	25582	24346	437	0	560	930	0	0
24	27601	2705542	25582	24276	413	0	570	950	0	0
25	27602	2705547	25582	24204	413	0	570	960	0	0
26	27603	2705552	25587	24131	413	0	580	980	0	0
27	27604	2705557	25594	24055	437	0	580	1000	0	0
28	27605	2705562	25616	23978	461	0	580	1020	0	0
29	27606	2705567	25624	23902	485	0	580	1030	0	0
30	27607	2705572	25644	23827	509	0	580	1050	0	0
31	27608	2705577	25676	23755	521	0	580	1060	0	0
32	27609	2705582	25704	23688	521	0	590	1090	0	0
33	27610	2705587	25730	23627	521	0	590	1090	0	0
34	27611	2705592	25753	23571	497	0	580	1100	0	0
35	27612	2705597	25780	23519	473	0	580	1100	0	0
36	27613	2705602	25812	23473	449	0	590	1110	0	0
37	27614	2705607	25848	23431	413	0	590	1110	0	0
38	27615	2705612	25889	23393	377	0	590	1110	0	0
39	27616	2705617	25933	23360	341	0	590	1110	0	0
40	27617	2705622	25933	23330	312	0	600	1100	0	0
41	27618	2705627	25938	23301	288	0	610	1080	0	0
42	27619	2705632	25979	23273	264	0	610	1070	0	0
43	27620	2705637	26018	23246	240	0	620	1050	0	0
44	27621	2705642	26051	23221	216	0	620	1040	0	0
45	27622	2705647	26078	23195	204	0	630	1020	0	0
46	27623	2705652	26105	23168	180	0	630	1020	0	0
47	27624	2705657	26126	23140	168	0	640	1000	0	0
48	27625	2705662	26146	23112	144	0	650	990	0	0
49	27626	2705667	26168	23083	132	0	650	990	0	0
50	27627	2705672	26188	23055	120	0	650	960	0	0
51	27628	2705677	26207	23028	120	0	660	970	0	0
52	27629	2705682	26225	23002	108	0	660	940	0	0
53	27630	2705687	26242	22980	108	0	670	950	0	0
54	27631	2705692	26257	22972	96	0	670	950	0	0
55	27632	2705697	26271	22966	96	0	670	920	0	0
56	27633	2705702	26284	22940	84	0	670	920	0	0
57	27634	2705707	26296	22928	72	0	680	920	0	0
58	27635	2705712	26308	22920	72	0	680	920	0	0
59	27636	2705717	26311	22914	60	0	680	920	0	0
60	27637	2705722	26320	22910	48	0	680	920	0	0
61	27638	2705727	26326	22904	48	0	680	900	0	0
62	27639	2705732	26333	22900	36	0	680	900	0	0
63	27640	2705737	26333	22895	24	0	680	900	0	0
64	27641	2705742	26333	22886	12	0	690	900	0	0
65	27642	2705747	26333	22875	12	0	690	900	0	0
66	27643	2705752	26333	22861	0	0	690	900	0	0
67	27644	2705757	26333	22845	0	0	690	900	0	0
68	27645	2705762	26333	22828	0	0	690	900	0	0
69	27646	2705767	26333	22813	0	0	690	900	0	0
70	27647	2705772	26333	22799	12	0	690	900	0	0
71	27648	2705777	26333	22788	12	0	690	900	0	0
72	27649	2705782	26333	22780	12	0	690	900	0	0
73	27650	2705787	26333	22776	12	0	690	900	0	0
74	27651	2705792	26333	22775	24	0	690	900	0	0
75	27652	2705797	26333	22775	24	0	690	900	0	0
76	27653	2705802	26337	22775	24	0	690	900	0	0
77	27654	2705807	26340	22775	24	0	690	900	0	0
78	27655	2705812	26344	22786	24	0	690	900	0	0
79	27656	2705817	26346	22798	24	0	680	900	0	0
80	27657	2705822	26348	22812	24	0	680	900	0	0
81	27658	2705827	26348	22825	24	0	680	900	0	0
82	27659	2705832	26349	22838	24	0	680	900	0	0
83	27660	2705837	26349	22849	24	0	680	900	0	0
84	27661	2705842	26349	22860	24	0	680	900	0	0
85	27662	2705847	26349	22868	36	0	680	900	0	0
86	27663	2705852	26349	22873	36	0	680	900	0	0
87	27664	2705857	26349	22874	48	0	680	900	0	0
88	27665	2705862	26349	22876	48	0	680	900	0	0
89	27666	2705867	26349	22877	60	0	680	900	0	0
90	27667	2705872	26346	22877	60	0	680	900	0	0
91	27668	2705877	26340	22877	60	0	680	900	0	0
92	27669	2705882	26331	22877	60	0	680	900	0	0
93	27670	2705887	26328	22877	60	0	680	900	0	0
94	27671	2705892	26322	22877	60	0	680	900	0	0
95	27672	2705897	26317	22875	48	0	680	900	0	0
96	27673	2705902	26311	22870	48	0	680	900	0	0
97	27674	2705907	26305	22863	36	0	680	900	0	0
98	27675	2705912	26301	22860	36	0	680	900	0	0
99	27676	2705917	26299	22858	24	0	680	900	0	0
100	27677	2705922	26298	22858	24	0	680	900	0	0
101	27678	2705927	26297	22858	12	0	680	880	0	0
102	27679	2705932	26297	22858	0	0	680	880	0	0
103	27680	2705937	26297	22858	0	0	680	880	0	0
104	27681	2705942	26297	22858	0	0	680	880	0	0
105	27682	2705947	26297	22858	0	0	680	880	0	0
106	27683	2705952	26297	22858	0	0	680	880	0	0
107	27684	2705957	26297	22858	0	0	680	880	0	0
108	27685	2705962	26297	22858	0	0	680	880	0	0
109	27686	2705967	26297	22858	0	0	680	900	0	0
110	27687	2705972	26297	22859	0	0	680	900	0	0
111	27688	2705977	26297	22860	0	0	680	900	0	0
112	27689	2705982	26297	22861	0	0	680	900	0	0
113	27690	2705987	26297	22861	0	0	680	900	0	0
114	27691	2705992	26297	22861	0	0	680	900	0	0
115	27692	2705998	26297	22862	0	33	680	900	0	0
116	27693	2706003	26297	22862	0	90	680	900	0	0
117	27694	2706008	26295	22862	0	160	680	900	0	0
118	27695	2706013	26293	22862	0	228	680	900	0	0
119	27696	2706018	26290	22862	0	286	680	900	0	0
120	27697	2706023	26288	22862	0	336	680	900	0	0
121	27698	2706028	26287	22862	0	380	680	900	0	0
122	27699	2706033	26285	22862	0	422	680	900	0	0
123	27700	2706038	26284	22862	0	466	680	900	0	0
124	27701	2706043	26283	22862	0	504	680	900	0	0
125	27702	2706048	26283	22862	0	540	670	900	0	0
126	27703	2706053	26282	22862	0	578	670	900	0	0
127	27704	2706058	26281	22862	0	616	670	900	0	0
128	27705	2706063	26281	22862	0	648	670	900	0	0
129	27706	2706068	26281	22862	0	677	680	900	0	0
130	27707	2706073	26281	22862	0	701	680	900	0	0
131	27708	2706078	26281	22862	0	722	680	900	0	0
132	27709	2706083	26281	22862	0	737	680	900	0	0
133	27710	2706088	26281	22862	0	749	680	900	0	0
134	27711	2706093	26281	22862	0	762	680	900	0	0
135	27712	2706098	26281	22862	0	772	680	920	0	0
136	27713	2706103	26281	22862	0	779	680	920	0	0
137	27714	2706108	26281	22862	0	785	680	920	0	0
138	27715	2706113	26281	22862	0	791	680	920	0	0
139	27716	2706118	26281	22862	0	795	680	920	0	0
140	27717	2706123	26281	22862	0	795	680	920	0	0
141	27718	2706128	26281	22862	0	796	680	920	0	0
142	27719	2706133	26282	22864	0	799	680	920	0	0
143	27720	2706138	26288	22867	0	803	680	920	0	0
144	27721	2706143	26295	22871	0	807	680	920	0	0
145	27722	2706148	26303	22876	0	813	680	920	0	0
146	27723	2706153	26312	22882	0	826	680	950	0	0
147	27724	2706158	26322	22891	0	834	680	950	0	0
148	27725	2706163	26333	22901	0	836	680	950	0	0
149	27726	2706168	26346	22914	0	839	680	950	0	0
150	27727	2706173	26357	22927	0	843	680	950	0	0
151	27728	2706178	26368	22939	0	846	680	950	0	0
152	27729	2706183	26380	22953	0	845	680	950	0	0
153	27730	2706188	26393	22967	0	844	680	950	0	0
154	27731	2706193	26405	22983	0	842	680	950	0	0
155	27732	2706198	26418	22999	0	838	680	950	0	0
156	27733	2706203	26429	23015	0	838	680	950	0	0
157	27734	2706208	26439	23031	0	839	670	950	0	0
158	27735	2706213	26449	23046	0	845	670	950	0	0
159	27736	2706218	26458	23062	0	848	670	950	0	0
160	27737	2706223	26467	23079	0	845	660	940	0	0
161	27738	2706228	26476	23098	0	845	660	940	0	0
162	27739	2706233	26483	23118	0	847	660	940	0	0
163	27740	2706238	26490	23136	0	847	650	940	0	0
164	27741	2706243	26497	23155	0	844	650	940	0	0
165	27742	2706248	26504	23176	0	843	650	940	0	0
166	27743	2706253	26511	23196	0	844	650	940	0	0
167	27744	2706258	26517	23216	0	844	640	960	0	0
168	27745	2706263	26523	23234	0	844	640	960	0	0
169	27746	2706268	26528	23249	0	845	640	960	0	0
170	27747	2706273	26532	23263	0	842	640	960	0	0
171	27748	2706278	26536	23277	0	843	640	960	0	0
172	27749	2706283	26538	23289	0	844	650	960	0	0
173	27750	2706288	26540	23298	0	845	650	960	0	0
174	27751	2706293	26541	23305	0	851	650	960	0	0
175	27752	2706298	26542	23310	0	858	650	960	0	0
176	27753	2706303	26543	23315	0	862	650	990	0	0
177	27754	2706308	26543	23318	0	871	650	990	0	0
178	27755	2706313	26543	23320	0	887	650	990	0	0
179	27756	2706318	26543	23320	0	900	650	990	0	0
180	27757	2706323	26543	23320	0	913	650	990	0	0
181	27758	2706328	26543	23320	0	922	650	990	0	0
182	27759	2706333	26543	23320	0	928	650	990	0	0
183	27760	2706338	26543	23320	0	930	650	990	0	0
184	27761	2706343	26543	23320	0	922	650	990	0	0
185	27762	2706348	26543	23320	0	914	650	990	0	0
186	27763	2706353	26543	23320	0	908	650	990	0	0
187	27764	2706358	26545	23319	0	903	650	990	0	0
188	27765	2706363	26547	23309	0	898	650	990	0	0
189	27766	2706368	26548	23297	0	895	650	990	0	0
190	27767	2706373	26551	23284	0	898	650	990	0	0
191	27768	2706378	26555	23269	0	900	650	990	0	0
192	27769	2706383	26559	23251	0	901	650	960	0	0
193	27770	2706388	26565	23230	0	911	650	960	0	0
194	27771	2706393	26572	23209	0	916	650	960	0	0
195	27772	2706398	26580	23186	0	916	650	960	0	0
196	27773	2706403	26590	23163	0	915	650	960	0	0
197	27774	2706408	26601	23138	0	913	650	960	0	0
198	27775	2706413	26613	23112	0	916	650	960	0	0
199	27776	2706418	26625	23084	0	907	650	960	0	0
200	27777	2706423	26637	23058	0	905	650	960	0	0
201	27778	2706428	26648	23031	0	904	650	960	0	0
202	27779	2706433	26658	23004	0	901	660	970	0	0
203	27780	2706438	26665	22978	0	905	660	940	0	0
204	27781	2706443	26671	22953	0	902	660	940	0	0
205	27782	2706448	26674	22931	0	902	660	940	0	0
206	27783	2706453	26676	22911	0	908	660	940	0	0
207	27784	2706458	26676	22895	0	911	660	940	0	0
208	27785	2706463	26676	22880	0	912	660	940	0	0
209	27786	2706468	26676	22868	0	915	660	940	0	0
210	27787	2706473	26676	22859	0	925	660	920	0	0
211	27788	2706478	26676	22852	0	932	660	920	0	0
212	27789	2706483	26676	22847	0	937	660	920	0	0
213	27790	2706488	26672	22843	0	940	660	920	0	0
214	27791	2706493	26664	22840	0	943	660	920	0	0
215	27792	2706498	26654	22837	0	945	660	920	0	0
216	27793	2706503	26643	22835	0	943	660	920	0	0
217	27794	2706508	26630	22832	0	937	660	920	0	0
218	27795	2706513	26617	22829	0	936	660	920	0	0
219	27796	2706518	26603	22827	0	937	660	920	0	0
220	27797	2706523	26590	22825	0	932	660	920	0	0
